STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,481725,1,0,2,339,0,9,4,2011,7,20,45,0,30.43640278,-95.41057222,0,1,0,20,49,0,0,0,2,1
48,481726,1,0,2,303,4140,18,4,2011,2,2,43,0,33.59684444,-101.8964861,0,1,0,88,88,0,0,0,2,1
48,481727,1,0,1,277,0,12,5,2011,5,13,18,1,33.66662222,-95.35513889,0,10,0,88,88,0,0,0,1,1
48,481728,1,1,1,113,4530,18,5,2011,4,0,29,1,32.83293056,-96.61266111,0,10,0,0,40,23,0,0,1,0
48,481729,1,0,2,343,0,21,5,2011,7,4,40,0,32.996625,-94.79971667,0,1,0,5,7,0,0,0,1,1
48,481730,3,0,4,439,2450,9,6,2011,5,17,55,0,32.65803056,-97.39666389,6,1,0,18,3,0,0,0,1,0
48,481731,2,0,3,113,2590,13,6,2011,2,17,3,0,32.92217778,-96.62801667,6,1,0,17,10,0,0,0,1,0
48,481732,1,0,1,109,0,19,6,2011,1,6,30,0,31.89271667,-104.0691944,0,1,0,88,88,0,0,0,1,0
48,481733,1,0,3,247,0,9,7,2011,7,9,28,0,27.31849444,-98.702825,0,1,0,10,13,0,0,0,1,1
48,481734,1,1,3,27,0,15,7,2011,6,4,13,1,31.122225,-97.75555278,0,1,0,4,18,0,0,0,1,0
48,481735,1,1,1,39,0,22,7,2011,6,23,20,0,28.96080278,-95.54333333,0,10,0,88,88,0,0,0,1,0
48,481737,2,0,3,439,2450,4,8,2011,5,1,20,1,32.73751667,-97.445575,0,1,0,1,27,0,0,0,1,0
48,481738,1,0,1,285,0,5,8,2011,6,14,40,0,29.42973056,-97.09161111,0,10,0,88,88,0,0,0,1,0
48,481739,1,0,1,339,0,7,8,2011,1,9,15,0,30.14765,-95.59710556,0,1,0,88,88,0,0,0,1,0
48,481740,1,1,1,451,0,12,8,2011,6,20,55,0,31.18036944,-100.4920833,0,1,0,88,88,0,0,0,1,0
48,481741,2,1,4,37,4860,13,8,2011,7,3,55,1,33.474725,-94.41396944,0,1,0,88,88,0,0,0,1,0
48,481742,1,0,2,439,2450,13,8,2011,7,1,30,0,32.75097222,-97.34585833,0,2,0,99,99,0,0,0,1,1
48,481743,1,0,1,113,2590,17,8,2011,4,13,54,0,32.90886667,-96.63572222,0,1,0,13,57,0,0,0,1,0
48,481744,1,1,1,223,0,17,8,2011,4,4,48,0,32.98487778,-95.59358611,0,1,0,88,88,19,0,0,1,0
48,481745,3,1,2,37,0,19,8,2011,6,2,26,1,33.47093889,-94.31422222,6,1,0,99,99,19,0,0,1,0
48,481746,1,0,10,355,5420,19,8,2011,6,14,22,0,27.77271111,-97.10928889,0,1,0,99,99,0,0,0,2,0
48,481747,1,0,1,387,0,19,8,2011,6,20,5,0,33.69135833,-95.05793889,0,1,0,88,88,0,0,0,1,0
48,481748,2,0,3,231,0,20,8,2011,7,20,46,1,33.01857222,-96.20473333,6,1,0,21,31,0,0,0,1,0
48,481749,2,0,3,255,0,20,8,2011,7,1,4,0,28.85852778,-97.83828611,2,1,0,2,0,0,0,0,2,2
48,481750,1,0,1,97,0,23,8,2011,3,21,25,0,33.68145556,-97.07928889,0,1,0,88,88,0,0,0,1,0
48,481751,1,0,4,319,0,25,8,2011,5,20,56,0,30.72760556,-99.24313333,0,1,0,21,14,0,0,0,1,0
48,481752,1,2,1,245,0,31,8,2011,4,16,44,1,29.87901667,-94.33309722,0,1,0,16,56,0,0,0,1,0
48,481753,2,0,2,409,0,31,8,2011,4,0,56,1,28.02835833,-97.53088056,6,1,0,88,88,0,0,0,1,0
