STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10073,2,0,2,39,9,2,2010,3,10,13,1,31.264175,-86.22892778,6,2,0,10,17,0,0,0,1,0
1,10074,2,0,2,125,17,2,2010,4,4,40,0,33.17044167,-87.37550278,6,1,0,4,48,0,0,0,1,1
1,10075,2,0,3,97,26,2,2010,6,23,57,0,30.65161944,-88.20765,8,1,0,0,4,0,0,0,1,1
1,10076,2,0,4,97,27,2,2010,7,17,19,0,30.79537778,-88.07703889,2,1,0,17,20,0,0,0,1,1
1,10077,1,0,3,63,12,2,2010,6,22,7,1,32.77789444,-88.05328611,0,1,0,22,39,0,0,0,1,0
1,10078,1,0,1,115,16,2,2010,3,23,15,0,33.86401944,-86.10808333,0,1,0,23,30,0,0,0,1,1
1,10079,1,0,3,117,18,2,2010,5,13,28,0,33.31984167,-86.78858056,0,1,0,13,31,0,0,0,1,0
1,10080,2,0,4,33,19,2,2010,6,15,25,1,34.73163333,-87.86328889,1,1,1,15,45,0,0,0,1,0
1,10081,1,0,3,73,27,2,2010,7,16,0,1,33.5201,-86.85557222,0,1,0,16,5,0,0,0,1,1
1,10082,1,0,2,73,5,2,2010,6,10,25,1,33.37401111,-86.82911389,0,2,0,10,31,0,0,0,1,0
1,10083,1,1,2,127,19,2,2010,6,22,55,1,33.87740278,-87.2497,0,1,0,23,15,0,0,0,1,0
1,10084,1,0,1,55,23,2,2010,3,11,20,0,34.10185,-86.26273333,0,1,0,11,39,0,0,0,1,0
1,10085,1,0,3,65,26,2,2010,6,18,0,0,32.69951667,-87.55096667,0,1,0,18,15,0,0,0,3,1
1,10086,1,0,2,93,27,2,2010,7,1,15,0,34.22405833,-87.66298056,0,1,0,1,35,0,0,0,1,0
1,10087,2,0,2,71,24,1,2010,1,20,2,1,34.62146667,-86.16575556,6,1,0,20,20,0,0,0,1,0
1,10088,1,0,2,49,20,2,2010,7,20,56,0,34.44089444,-85.91096111,0,1,0,21,0,0,0,0,1,1
1,10089,2,0,2,73,12,2,2010,6,5,50,1,33.54068056,-87.08343056,2,1,0,6,51,0,0,0,1,0
1,10090,1,0,2,121,12,2,2010,6,20,0,0,33.57085833,-85.85282778,0,4,0,20,15,0,0,0,1,1
1,10091,2,0,2,89,13,2,2010,7,19,35,0,34.76989444,-86.70640833,6,1,0,19,50,0,0,0,1,1
1,10092,2,0,3,83,15,2,2010,2,7,45,1,34.79123333,-87.03011944,6,4,0,8,15,0,0,0,1,0
