STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,WEATHER,LATITUDE,LONGITUD
1,121,2,19,15,10,2,2,0,0,2,15,26,0,0,0,0,1,2,0,10090,2007,1,33.51696944,-86.14814167
1,127,2,19,3,30,1,1,0,1,0,3,52,0,0,0,0,1,2,0,10091,2007,1,33.86398056,-87.40146111
1,131,2,19,12,30,1,3,0,0,0,12,55,0,0,0,0,1,2,0,10092,2007,1,31.97011389,-87.070875
1,103,2,19,11,15,1,1,0,0,0,11,28,0,0,0,0,1,2,0,10093,2007,1,34.31018333,-86.89263333
1,13,2,19,19,30,1,1,0,1,0,20,4,0,0,0,0,1,2,0,10094,2007,1,31.88604444,-86.60781111
1,67,2,21,9,10,2,2,0,0,1,9,22,0,0,0,0,1,4,0,10095,2007,1,31.616675,-85.16282778
1,9,2,22,18,30,1,1,0,0,0,18,47,0,0,0,0,1,5,0,10096,2007,1,33.92585,-86.80471389
1,31,2,23,16,28,1,1,0,0,0,16,41,0,0,0,0,1,6,0,10097,2007,1,31.43095833,-86.17673611
1,109,2,23,22,40,1,2,0,0,0,23,1,0,0,0,0,1,6,1,10098,2007,1,32.04419167,-85.95405278
1,127,2,24,3,0,1,1,0,1,0,6,18,0,0,0,0,1,7,1,10099,2007,1,33.92291111,-87.61855278
1,55,2,24,5,0,1,1,0,0,0,5,30,0,0,0,0,1,7,1,10100,2007,1,34.06971111,-85.91285
1,113,2,24,12,32,1,1,0,0,0,12,59,0,0,0,0,1,7,1,10101,2007,1,32.29105556,-85.28733056
1,89,2,26,8,30,2,3,0,0,5,8,40,0,0,0,0,1,2,0,10102,2007,1,34.79395833,-86.74912778
1,49,2,27,3,0,1,1,0,0,0,3,55,0,0,0,0,1,3,1,10103,2007,1,34.55950556,-85.72034444
1,39,3,1,15,0,2,3,0,1,2,15,20,0,0,0,0,2,5,1,10104,2007,2,31.34786111,-86.54194167
1,107,3,1,12,40,1,1,0,0,0,13,0,0,0,0,0,1,5,0,10105,2007,1,33.26730556,-88.143375
1,125,3,7,20,35,1,1,0,1,0,20,49,0,0,0,0,1,4,1,10106,2007,1,33.25052222,-87.13201111
1,43,3,9,11,20,2,4,0,0,1,11,25,0,0,0,0,1,6,0,10107,2007,1,34.19821667,-86.78170278
1,97,2,2,15,26,2,2,1,0,0,15,35,0,15,14,0,1,6,0,10108,2007,1,30.71995278,-88.14941667
1,89,1,5,16,45,2,3,0,1,1,16,54,0,19,0,0,1,6,0,10109,2007,1,34.68613056,-86.72831389
1,99,1,5,16,17,1,1,0,0,0,16,30,0,0,0,0,1,6,0,10110,2007,1,31.54062222,-87.35721944
1,69,1,11,20,0,1,1,0,0,0,99,99,0,0,0,0,1,5,1,10111,2007,5,31.29978889,-85.337125
1,117,1,12,5,12,1,1,0,0,0,5,22,0,0,0,0,1,6,1,10112,2007,1,33.28607222,-86.88924167
1,73,1,13,23,40,1,3,0,0,0,23,51,0,0,0,0,1,7,1,10113,2007,1,33.59248611,-86.85488611
1,17,1,15,6,20,1,2,0,0,0,6,27,0,0,0,0,1,2,0,10114,2007,1,32.89155833,-85.41137778
1,97,1,21,17,45,1,1,0,0,0,17,49,0,0,0,0,1,1,0,10115,2007,2,30.60437222,-88.07596667
1,125,1,25,18,17,1,1,0,0,0,18,36,0,0,0,0,1,5,0,10116,2007,1,33.18873056,-87.56789167
1,73,2,2,3,7,1,1,0,1,0,3,16,0,0,0,0,1,6,0,10117,2007,2,33.51978889,-86.83146389
1,97,2,3,20,35,1,2,1,0,0,20,37,0,0,0,0,1,7,0,10118,2007,1,30.66984167,-88.10269167
1,45,2,5,12,14,1,1,0,0,0,12,20,0,0,0,0,1,2,0,10119,2007,1,31.38777778,-85.57974167
1,89,2,5,13,38,1,1,0,1,0,13,47,0,0,0,0,1,2,0,10120,2007,1,34.75369167,-86.57145833
1,51,2,9,21,7,1,2,1,0,0,21,16,0,0,0,0,1,6,1,10121,2007,1,32.46050278,-86.36020278
1,73,2,28,18,58,2,2,0,1,3,19,18,0,0,0,0,1,4,0,10122,2007,1,33.34169444,-86.89555
1,97,2,15,23,8,1,1,0,0,0,23,13,0,0,0,0,1,5,1,10123,2007,1,30.65626944,-88.14365278
1,49,2,12,13,47,2,3,0,0,5,13,50,0,0,0,0,1,2,0,10124,2007,1,34.35638611,-86.01475556
1,21,2,16,18,37,1,3,0,0,0,18,42,0,99,99,99,1,6,0,10125,2007,1,32.91311944,-86.71323333
1,97,2,17,18,40,1,2,1,0,0,18,42,0,0,0,0,1,7,1,10126,2007,1,30.660675,-88.07369444
1,73,2,25,20,45,2,3,0,1,6,20,55,0,0,0,0,1,1,0,10127,2007,1,33.58072222,-86.70857222
1,73,2,25,16,45,1,3,0,0,0,16,58,0,0,0,0,2,1,0,10128,2007,1,33.76904167,-87.01065833
1,73,3,19,10,45,1,2,1,0,0,10,47,0,0,0,0,1,2,0,10129,2007,1,33.50006667,-86.85276111
1,97,3,17,12,40,2,5,0,0,5,12,46,0,0,0,0,1,7,0,10130,2007,1,30.61856944,-88.15695278
1,97,3,15,22,52,1,2,0,0,0,22,57,0,0,0,0,1,5,1,10131,2007,1,30.78895833,-88.20878056
1,73,3,13,11,42,2,2,0,0,5,11,55,0,0,0,0,1,3,1,10132,2007,1,33.78822778,-86.68612778
1,115,3,13,15,13,1,2,0,0,0,15,24,0,0,0,0,2,3,0,10133,2007,1,33.76218889,-86.07073333
1,97,3,12,9,5,2,4,0,0,5,99,99,0,0,0,0,1,2,0,10134,2007,1,30.68705556,-88.07361389
1,97,3,11,19,40,1,2,1,0,0,19,49,0,0,0,0,1,1,0,10135,2007,1,30.70042778,-88.04448611
1,73,3,10,2,10,1,1,0,1,0,2,26,0,0,0,0,1,7,0,10136,2007,1,33.51981667,-86.82583611
1,125,3,7,18,38,2,3,0,0,5,18,45,0,0,0,0,1,4,0,10137,2007,1,33.28343611,-87.52319444
1,73,3,6,22,58,1,1,0,0,0,23,3,0,0,0,0,1,3,0,10138,2007,1,33.65470556,-86.64695556
1,73,3,23,19,17,3,3,0,1,7,19,20,0,0,0,0,1,6,2,10139,2007,1,33.57141389,-86.78433611
1,81,3,23,16,11,1,2,0,1,0,16,22,0,0,0,0,1,6,0,10140,2007,1,32.65354167,-85.34594444
1,77,3,24,17,11,2,4,0,1,5,99,99,0,0,0,0,1,7,0,10141,2007,1,34.85761944,-87.54197778
1,73,3,28,5,40,1,2,1,0,0,5,53,0,0,0,0,1,4,0,10142,2007,1,33.63520278,-86.66187222
1,125,3,30,23,21,1,2,1,1,0,23,23,0,0,0,0,1,6,0,10143,2007,1,33.20855278,-87.57226111
1,101,3,31,4,23,1,3,0,0,0,4,29,0,0,0,0,1,7,1,10144,2007,1,32.35785556,-86.33273333
1,97,4,30,4,0,1,2,0,0,0,4,1,0,0,0,0,1,2,0,10145,2007,1,30.70971389,-88.0765
1,73,4,4,15,35,2,3,0,0,2,15,45,0,0,0,0,1,4,0,10146,2007,1,33.60058889,-86.65141944
1,113,1,2,15,16,2,5,0,1,5,15,21,0,0,0,0,1,3,0,10147,2007,1,32.42237778,-85.04003056
1,73,1,21,20,15,1,1,0,0,0,20,25,0,0,0,0,1,1,0,10148,2007,2,33.55202778,-87.0068
1,101,1,5,2,15,2,2,0,0,2,2,23,0,0,0,0,1,6,1,10149,2007,1,32.41164444,-86.15636389
1,125,2,7,17,25,2,5,0,1,5,17,43,0,0,0,0,1,4,0,10150,2007,1,33.02471944,-87.31824444
1,113,2,8,8,20,2,2,0,1,5,8,29,0,0,0,0,1,5,0,10151,2007,1,32.48422222,-85.03151111
1,3,2,9,21,10,1,2,1,0,0,21,30,0,0,0,0,1,6,1,10152,2007,1,30.46335833,-87.79795556
1,81,2,11,10,5,1,3,2,1,0,10,15,0,0,0,0,1,1,0,10153,2007,1,32.66485556,-85.47311389
1,65,2,16,4,30,1,2,0,0,0,4,37,0,0,0,0,2,6,1,10154,2007,1,32.76140833,-87.74174722
1,125,2,17,18,17,1,4,1,0,0,18,19,0,0,0,0,1,7,0,10155,2007,1,33.20551389,-87.53313056
1,97,2,18,22,5,1,3,0,1,0,22,17,0,0,0,0,1,1,0,10156,2007,1,30.81979722,-88.35121667
1,73,2,19,11,35,2,2,0,1,1,11,50,0,19,0,0,1,2,0,10157,2007,1,33.52520833,-86.66226111
1,29,2,21,14,50,4,5,0,1,1,15,15,0,19,14,0,3,4,0,10158,2007,1,33.65981111,-85.39366944
1,39,2,22,21,9,1,2,1,0,0,21,13,0,0,0,0,1,5,1,10159,2007,1,31.30503611,-86.49927778
1,97,2,23,22,30,1,2,0,0,0,22,48,0,0,0,0,1,6,1,10160,2007,1,30.83186389,-88.28304722
1,125,2,24,4,0,1,1,0,0,0,4,30,0,0,0,0,1,7,1,10161,2007,1,33.26961667,-87.61410556
1,53,2,26,0,49,1,2,0,0,0,0,55,0,0,0,0,2,2,1,10162,2007,1,31.01661944,-87.55157778
1,11,2,26,20,30,1,1,0,0,0,20,55,0,0,0,0,1,2,1,10163,2007,1,32.09863056,-85.81025
1,3,2,26,7,45,2,2,0,1,4,8,0,0,0,0,0,1,2,0,10164,2007,1,30.9174,-87.79031667
1,71,2,27,15,15,2,4,0,0,5,15,35,0,0,0,0,1,3,0,10165,2007,1,34.6892,-85.79528056
1,55,2,28,22,57,1,2,0,0,0,23,15,0,20,0,0,2,4,1,10166,2007,1,34.03168333,-85.98076111
1,125,1,30,11,30,1,2,1,1,0,0,0,0,0,0,0,1,3,0,10167,2007,1,33.11499722,-87.47538333
1,9,3,1,5,20,3,4,0,0,2,5,57,0,20,14,0,1,5,0,10168,2007,2,33.93766667,-86.39006944
1,9,3,1,7,5,1,2,0,0,0,7,20,0,0,0,0,1,5,1,10169,2007,1,33.89531944,-86.51711944
