STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,83,2,9,6,25,2,3,0,0,2,1,6,35,0,0,0,0,2,5,0,10080,2006,34.73195556,-86.99146389
1,37,1,29,3,0,1,1,0,0,0,2,5,45,0,0,0,0,1,1,1,10081,2006,32.94988333,-86.44088611
1,125,2,16,4,15,1,1,0,0,0,1,0,0,0,0,0,0,1,5,0,10082,2006,33.13782222,-87.81695
1,15,2,17,18,35,2,2,0,0,2,1,18,40,0,0,0,0,1,6,0,10083,2006,33.71256667,-85.87109167
1,95,1,29,6,5,1,2,1,0,0,2,6,11,0,0,0,0,1,1,0,10084,2006,34.30071389,-86.15010278
1,1,2,18,18,30,3,3,0,1,2,2,18,43,0,0,0,0,1,7,1,10085,2006,32.48961667,-86.54410833
1,97,2,18,18,40,1,1,0,0,0,2,19,0,0,0,0,0,1,7,1,10086,2006,30.561275,-88.20363611
1,83,1,29,7,15,1,1,0,0,0,1,7,24,0,0,0,0,1,1,1,10087,2006,34.72716944,-86.79657222
1,113,2,18,3,42,2,2,0,1,1,1,3,53,0,0,0,0,1,7,0,10088,2006,32.44251667,-85.02043889
1,89,1,30,18,49,1,2,1,0,0,1,18,55,0,0,0,0,1,2,2,10089,2006,34.78751389,-86.59190833
1,97,2,19,14,10,1,1,0,0,0,1,14,30,0,0,0,0,1,1,0,10090,2006,30.53882222,-88.159625
1,75,1,31,13,20,1,2,1,0,0,1,13,34,0,0,0,0,1,3,0,10091,2006,33.74355278,-88.00060556
1,127,1,31,22,50,1,1,0,0,0,1,23,15,0,0,0,0,1,3,1,10092,2006,33.82945278,-87.03330833
1,97,1,31,7,30,2,3,0,0,2,1,8,0,0,0,0,0,1,3,1,10093,2006,30.57316389,-88.18266667
1,9,2,20,6,10,1,1,0,0,0,2,6,35,0,0,0,0,1,2,0,10094,2006,33.92271111,-86.80909722
1,127,2,20,1,55,2,6,0,1,0,3,2,20,0,0,0,0,2,2,0,10095,2006,33.923875,-87.59775
1,89,2,20,6,50,1,1,0,0,0,1,7,0,0,0,0,0,1,2,0,10096,2006,34.87223333,-86.60700833
1,55,1,31,0,42,1,1,0,0,0,1,0,49,0,0,0,0,1,3,1,10097,2006,34.00933889,-85.96704444
1,101,2,20,20,50,2,2,0,9,5,2,20,55,0,0,0,0,1,2,0,10098,2006,32.32752222,-86.336825
1,89,2,20,17,0,2,2,0,0,2,1,17,22,0,0,0,0,1,2,0,10099,2006,34.66245833,-86.78698889
1,7,2,22,9,50,1,2,0,0,0,2,9,57,0,0,0,0,1,4,0,10100,2006,33.01572778,-87.29838611
1,125,2,9,11,30,1,1,0,0,0,1,13,5,0,0,0,0,1,5,0,10101,2006,33.54795556,-87.63315833
