STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,WEATHER
1,47,3,15,20,15,1,2,0,0,0,20,48,0,0,0,0,1,1,1,10129,2009,32.3012,-87.2499,1
1,21,3,15,5,0,1,3,0,0,0,5,30,0,0,0,0,1,1,1,10130,2009,32.817,-86.9664,2
1,69,3,15,11,30,2,4,0,1,5,11,45,0,0,0,0,1,1,0,10131,2009,31.0854,-85.4055,1
1,89,3,17,20,5,1,1,0,0,0,20,13,0,0,0,0,1,3,1,10132,2009,34.8523,-86.517,1
1,47,3,18,9,25,3,4,0,1,5,9,34,0,14,0,0,1,4,0,10133,2009,32.4357,-87.0835,1
1,13,1,5,6,15,1,2,0,1,0,99,99,0,0,0,0,2,2,0,10134,2009,31.9605,-86.542,2
1,125,1,11,5,46,2,2,0,1,5,5,54,0,0,0,0,1,1,0,10135,2009,33.2372,-87.5647,1
1,121,1,26,5,33,1,2,1,1,0,5,42,0,0,0,0,1,2,0,10136,2009,33.1732,-86.2507,2
1,19,1,31,16,0,1,1,0,0,0,16,19,0,0,0,0,1,7,0,10137,2009,34.2533,-85.5235,1
1,49,3,19,13,50,1,1,0,0,0,14,6,0,0,0,0,1,5,0,10138,2009,34.5054,-85.7546,1
1,53,3,21,8,45,1,1,0,0,0,8,46,0,0,0,0,1,7,0,10139,2009,31.1805,-87.1039,1
1,97,3,21,2,10,1,2,0,0,0,2,40,0,0,0,0,1,7,1,10140,2009,30.48,-88.1675,1
1,19,3,21,18,12,1,1,0,1,0,18,44,0,0,0,0,1,7,0,10141,2009,34.3633,-85.6075,1
1,29,3,22,13,19,1,2,0,0,0,13,47,0,0,0,0,1,1,0,10142,2009,33.5622,-85.7335,1
1,45,3,22,14,20,1,1,0,0,0,14,40,0,0,0,0,1,1,1,10143,2009,31.2103,-85.7916,1
