STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,TRAF_FLO,SP_LIMIT,SUR_COND,HIT_RUN,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,73,1,24,9,16,2,3,0,1,5,2,40,1,0,9,17,0,0,0,0,1,5,0,10084,2008,33.6076,-86.9582,2,1
1,127,2,18,20,46,1,1,0,0,0,1,25,1,0,20,52,0,0,0,0,1,2,0,10085,2008,33.8384,-87.2546,1,1
1,73,3,8,5,10,2,2,0,0,1,1,35,2,0,5,15,0,0,0,0,1,7,1,10086,2008,33.5105,-86.814,2,4
1,3,1,5,20,29,2,3,0,0,5,2,55,1,0,20,36,0,0,0,0,2,7,1,10087,2008,30.3885,-87.6476,2,1
1,83,1,23,1,5,1,1,0,0,0,2,55,2,0,1,12,0,0,0,0,1,4,0,10088,2008,34.6558,-86.9505,1,1
1,97,2,1,17,58,2,3,0,1,1,3,65,1,0,18,0,0,0,0,0,1,6,0,10089,2008,30.65,-88.0748,2,1
1,125,2,2,2,55,1,1,0,0,0,1,35,1,0,3,11,0,0,0,0,1,7,1,10090,2008,33.2663,-87.5909,1,1
1,131,2,22,8,45,1,1,0,0,0,1,55,2,0,9,8,0,0,0,0,1,6,0,10091,2008,31.9008,-87.0865,1,2
1,43,2,22,23,55,1,1,0,0,0,1,40,2,0,0,10,0,18,0,0,1,6,1,10092,2008,34.0855,-86.975,1,2
1,113,2,6,12,22,2,4,0,0,5,1,45,2,0,12,44,0,0,0,0,1,4,0,10093,2008,32.5015,-85.0587,2,2
1,117,2,23,15,15,1,2,0,0,0,1,55,1,0,15,22,0,0,0,0,1,7,1,10094,2008,33.4817,-86.57,1,1
1,87,2,25,0,25,1,6,0,1,0,2,70,1,0,1,20,0,0,0,0,1,2,0,10095,2008,32.5122,-85.5904,1,1
1,65,2,8,19,25,1,1,0,0,0,1,45,1,0,19,51,0,0,0,0,1,6,1,10096,2008,32.772,-87.7577,1,1
1,109,2,26,12,55,2,3,0,0,2,2,55,1,0,13,0,0,0,0,0,1,3,0,10097,2008,31.7671,-85.9611,2,1
1,43,2,8,16,10,1,1,0,0,0,1,45,1,0,16,24,0,0,0,0,1,6,0,10098,2008,33.9057,-86.9408,1,1
1,97,2,11,7,48,1,1,0,1,0,3,65,1,0,7,52,0,0,0,0,1,2,0,10099,2008,30.635,-88.0991,1,1
1,43,2,28,16,15,3,4,0,0,2,1,55,1,0,16,27,0,0,0,0,1,5,0,10100,2008,34.0004,-86.9552,3,1
1,15,2,11,22,0,1,2,0,0,0,1,40,1,0,22,45,0,0,0,0,1,2,1,10101,2008,33.7129,-85.6819,1,1
1,125,2,17,2,12,1,1,0,0,0,1,45,1,0,2,36,0,0,0,0,1,1,1,10102,2008,33.241,-87.0907,1,1
1,113,3,1,14,35,2,2,0,0,5,1,45,1,0,99,99,0,0,0,0,1,7,0,10103,2008,32.1655,-85.2659,2,1
1,95,2,18,14,40,2,3,0,0,2,1,50,1,0,14,50,0,0,0,0,1,2,1,10104,2008,34.4943,-86.3472,2,1
1,79,2,18,17,50,2,6,0,1,5,2,65,1,0,18,0,0,0,0,0,2,2,0,10105,2008,34.4162,-87.1608,2,1
1,73,2,19,19,50,2,2,0,1,0,2,70,1,0,20,10,0,0,0,0,1,3,1,10106,2008,33.6189,-86.8149,2,1
1,81,3,1,1,0,1,1,0,0,0,1,55,1,0,6,33,0,0,0,0,1,7,0,10107,2008,32.5229,-85.2625,1,1
1,21,3,3,10,20,2,2,0,0,2,1,55,1,0,10,35,0,0,0,0,1,2,0,10108,2008,32.7493,-86.5031,2,6
1,15,3,5,18,15,2,2,0,1,5,2,65,1,0,18,28,0,0,0,0,1,4,0,10109,2008,33.8293,-85.911,2,1
1,123,3,5,18,55,1,1,0,0,0,1,45,1,0,19,8,0,0,0,0,1,4,1,10110,2008,32.9957,-85.9932,1,1
1,85,3,11,13,50,1,1,0,0,0,1,55,1,0,14,1,0,0,0,0,1,3,0,10111,2008,32.0212,-86.7643,1,1
1,83,2,22,23,21,2,3,0,0,5,1,55,1,0,23,31,0,0,0,0,1,6,0,10112,2008,34.9449,-87.1875,2,1
1,19,3,2,17,0,1,1,0,0,0,1,35,1,0,17,50,0,0,0,0,1,1,1,10113,2008,34.0119,-85.5664,1,1
1,125,2,23,20,13,2,3,0,0,2,1,45,1,0,20,18,0,0,0,0,1,7,1,10114,2008,33.2209,-87.5715,2,1
1,89,3,6,23,15,1,1,0,0,0,1,45,1,0,23,24,0,0,0,0,1,5,1,10115,2008,34.8191,-86.7492,1,1
1,73,3,16,17,10,1,1,0,1,0,6,50,1,0,17,28,0,0,0,0,1,1,0,10116,2008,33.5154,-86.8234,1,1
1,73,3,23,11,56,2,4,0,0,5,1,40,1,0,12,0,0,0,0,0,1,1,0,10117,2008,33.5531,-86.7209,2,1
