REG_STAT,DEATHS,ST_CASE,WGTCD_TR,L_STATE,L_TYPE,L_STATUS,PREV_ACC,PREV_OTH
1,2,10374,,1,2,6,0,0
1,1,10375,,1,1,6,0,0
1,1,10376,2,1,1,6,1,1
17,0,10376,8,1,1,6,0,0
1,1,10377,2,1,1,6,0,1
1,1,10378,,1,1,1,0,0
1,0,10378,,1,1,6,0,1
92,1,10379,,1,1,6,0,0
1,1,10380,1,1,1,6,0,0
13,2,10380,,13,1,6,98,0
47,2,10381,,1,1,6,0,0
1,0,10381,3,1,1,6,0,0
1,0,10382,1,1,1,6,2,1
1,1,10382,,1,1,6,0,1
1,0,10383,1,1,0,0,99,99
1,1,10383,1,1,1,6,0,0
12,1,10384,,12,1,1,1,0
1,1,10385,,1,1,6,1,0
45,0,10385,8,45,1,6,2,1
1,1,10386,9,1,1,6,1,0
1,1,10387,,1,1,6,0,0
1,0,10388,9,1,1,6,0,0
28,0,10388,,28,1,6,0,0
1,1,10388,,1,1,6,0,0
1,1,10389,,1,1,2,0,0
1,0,10390,,1,1,6,0,0
1,0,10391,,1,1,6,1,0
92,1,10392,,1,2,6,0,0
13,0,10392,,13,1,6,98,0
1,1,10393,,1,1,6,1,0
1,1,10394,,1,1,3,1,0
1,1,10395,1,1,1,6,1,0
1,1,10396,,1,1,6,1,3
1,1,10397,,1,1,6,1,0
92,1,10398,,1,1,6,1,0
92,1,10399,,1,1,1,0,0
1,1,10400,,1,1,6,0,0
1,0,10400,2,1,1,6,0,0
1,1,10401,1,1,1,6,0,0
1,0,10401,2,1,1,6,0,0
1,1,10402,,1,1,6,0,2
1,1,10403,,1,0,0,99,99
1,1,10404,,1,1,1,1,1
1,1,10405,,1,1,6,0,0
1,1,10406,1,1,1,6,1,0
1,1,10407,,1,1,6,0,0
1,0,10407,2,1,1,1,1,0
13,1,10408,,13,1,6,98,0
1,1,10409,,12,1,6,1,1
1,1,10410,,1,1,6,1,0
1,1,10411,,1,1,6,2,0
1,1,10412,,1,0,0,99,99
1,1,10413,1,1,1,6,0,0
1,1,10413,,1,1,6,0,0
1,0,10413,,1,1,6,0,0
1,1,10414,,1,1,6,0,0
