VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
0,2,43,1,0,10199,
1,1,32,1,3,10199,31
2,1,33,1,3,10199,31
1,1,46,1,3,10200,66
2,1,56,2,3,10200,4
3,1,81,2,3,10200,4
4,1,51,1,3,10200,31
4,2,99,9,3,10200,31
4,3,99,9,3,10200,31
5,1,35,1,3,10200,31
5,2,99,9,3,10200,31
1,1,16,1,0,10201,2
1,2,15,2,0,10201,2
0,1,58,1,0,10202,
1,1,99,9,99,10202,99
1,1,20,1,0,10203,2
1,2,19,2,0,10203,2
1,3,40,1,0,10203,2
1,4,19,1,0,10203,2
2,1,45,2,0,10203,14
2,2,23,2,0,10203,14
1,1,22,1,0,10204,30
1,2,22,1,0,10204,30
1,1,71,1,3,10205,4
2,1,49,1,0,10205,31
1,1,77,1,3,10206,4
2,1,40,1,3,10206,66
1,1,22,1,0,10207,14
0,1,66,1,0,10208,
1,1,56,2,3,10208,4
2,1,67,1,3,10208,20
2,2,99,9,3,10208,20
2,3,99,9,3,10208,20
2,4,99,9,3,10208,20
1,1,22,2,0,10209,2
2,1,42,1,0,10209,31
1,1,25,1,3,10210,31
2,1,22,1,3,10210,2
2,2,22,1,0,10210,2
2,3,22,2,0,10210,2
1,1,16,2,0,10211,14
1,2,17,2,0,10211,14
2,1,45,1,99,10211,31
1,1,31,2,3,10212,15
1,1,47,1,3,10213,4
1,1,38,1,99,10214,5
2,1,36,1,3,10215,63
1,1,26,1,0,10216,32
1,1,56,1,3,10217,30
1,1,34,1,3,10218,20
1,2,33,2,3,10218,20
0,1,50,1,0,10219,
1,1,42,1,3,10219,14
2,1,40,1,3,10219,14
1,1,78,2,99,10220,4
2,1,51,2,99,10220,14
1,1,53,1,3,10221,2
2,1,29,1,3,10221,4
2,2,50,2,0,10221,4
2,3,99,9,0,10221,4
2,4,99,9,3,10221,4
1,1,44,1,0,10222,20
0,1,52,1,0,10223,
1,1,62,2,3,10223,4
1,1,48,1,2,10224,4
1,1,28,2,3,10225,4
1,2,9,2,3,10225,4
1,3,7,2,3,10225,4
1,1,35,1,3,10226,15
1,1,17,1,0,10227,14
1,2,16,1,0,10227,14
1,3,99,9,0,10227,14
1,4,99,9,0,10227,14
1,1,43,1,3,10228,66
2,1,46,1,0,10228,92
1,1,30,2,0,10229,2
2,1,64,1,3,10229,4
1,1,36,1,1,10230,2
2,1,59,2,3,10230,4
1,1,22,2,0,10231,4
2,1,54,2,3,10231,4
2,2,71,1,3,10231,4
